item,itemLabel,position,positionLabel,startDate,endDate
Q17639110,Samy Badibanga,,Premier ministre,,
Q3271542,Léonard She Okitundu,,Affaires étrangères et Intégration régionale,,
Q16269662,Emmanuel Ramazani Shadary,,Intérieur,,
Q3186402,José Makila Sumanda,,Transport et Voies de communication,,
Q2834659,Alexis Thambwe Mwamba,,Justice et Garde des sceaux,,
,Pierre Kangudia Mbayi,,Budget,,
Q19543886,Modeste Bahati Lukwebo,,Économie nationale,,
Q56515694,Jean-Lucien Bussa,,Plan,,
,Lambert Matuku,,"Emploi, Travail et Prévoyance sociale",,
Q2875098,Azarias Ruberwa,,Décentralisation et réforme institutionnelle,,
Q18642480,Michel Bongongo,,Fonction publique,,
Q3002789,Crispin Atama Tabe,,"Défense nationale, anciens combattants et Réinsertion",,
Q19631192,Henri Yav Mulang,,Finances,,
Q178793,Lambert Mende,,Communication et Médias,,
,Ami Ambatombe Nyongolo,,"Postes, télécommunication et NTIC",,
Q104889315,Wivine Mumba Matipa,,Portefeuille,,
,Justin Bitakwira,,Relation avec le Parlement,,
Q19544597,Félix Kabange,,Affaires foncières,,
Q18649355,Thomas Luhaka,,"Infrastructures, Travaux publics et reconstruction",,
,Joseph Kokonyangi,,Urbanisme et Habitat,,
Q3295482,Martin Kabwelulu,,Mines,,
Q18681696,Aimé Ngoy Mukena,,Hydrocarbures,,
Q60958438,Marcel Ilunga Leu,,Industrie,,
,Pierre Anatole Matusila,,Énergie et ressources hydrauliques,,
,André Moke Sanza,,Tourisme,,
Q3060173,Eugène Serufuli Ngayabaseka,,Petites et moyennes entreprises,,
,Clément Kanku Bukasa,,Coopération au développement,,
Q18353237,Aimé Boji,,Commerce extérieur,,
,Patrick Mayombe Mumbioko,,Agriculture,,
Q40680866,Gaston Musemena,,"Enseignement primaire, secondaire et professionnel",,
Q56618763,Marie-Louise Mwange,,"Genre, Enfant et Famille",,
,Paluku Kisaka Yereyere,,"Affaire sociales, solidarité et action humanitaires",,
Q97464651,Willy Bakonga Wilima,,Sports,,
,Atis Kabongo Kalonji,,Environnement et Développement durable,,
Q97446584,Steve Mbikayi Mabuluki,,Enseignement Supérieur Universitaire,,
Q106904741,Guy Mikulu Pombo,,"Formation professionnelle, métiers et Artisanats",,
,Bamboka Lobendi,,Recherche scientifique,,
Q109044479,Martine Ntumba Bukasa,,Développement rural,,
Q28811859,Marie-Ange Mushobekwa,,Droits humains,,
Q54010330,Oly Ilunga Kalenga,,Santé,,
,Maguy Kiala Bolenga,,Jeunesse et Initiation à la nouvelle citoyenneté,,
Q3167591,Jean-Marie Bulambo Kilosho,,Pêche et Elevage,,
,Venant Tshipasa Vangi,,Affaires coutumières,,
,Sylvain Maurice Masheke,,Cultures et Arts,,
,Fidèle Ntingu Bayi,,Ministre Délégué auprès du Premier ministre,,
,Yves Kisombe,,Affaires étrangères,,
Q85853156,Emmanuel Ilunga Ngoy Kasongo,,Congolais de l'étranger,,
,Basile Olongo,,Intérieur,,
,Samy Adubango,,Transports et Voies de communication,,
,Edouard Kiove Kola,,Justice,,
,Willy Ngoposs Sunzel,,Budget,,
,Agée Matembo,,Environnement,,
Q18611995,Franck Mwe di Malila,,Plan,,
,Arthur Sedea,,Travail et Prévoyance sociale,,
,Montana Mpuku Autaine,,Décentralisation et Réforme institutionnelle,,
,Corneille Maswaswa,,Défense nationale,,
,Tharcisse Loseke Nembalemba,,Finances,,
,Isidore Omari Kampene,,Télécommunications et NTIC,,
,Omer Egbake Yangembe,,Portefeuille,,
,Papy Matenzolo,,Infrastructures,,
,Zachée Rugabisha,,Urbanisme,,
,Willy Mishiki,,Énergie et ressources hydrauliques,,
,John Kwete,,Coopération au développement,,
Q96988286,Nathalie Bul'an'sung Sanata,,Commerce extérieur,,
Q110500625,Noël Botakile,,Agriculture,,
,Bishumu Akupendayi,,Économie,,
Q2966383,Christophe Mboso N'Kodia Pwanga,,Enseignement Supérieur et Universitaire,,
Q104416504,Maguy Rwakabuba,,Santé,,
