name,id,found,desc
Abdoulaye Yerodia Ndombasi,Q2821395,Abdoulaye Yerodia Ndombasi,Democratic Republic of the Congo politician
Acacia Bandubola Mbongo,Q87990699,Acacia Bandubola Mbongo,Congolese businesswoman and politician
Adolphe Muzito,Q365790,Adolphe Muzito,Congolese Prime Minister
Adolphe Onusumba Yemba,Q112207919,Adolphe Onusumba Yemba,Congolese politician
Adèle Degbalase Kanda,Q101412106,,Congolese politician
Aggee Aje Matembo Toto,Q106904729,Aggée Aje Matembo Toto,"politician, DRC"
Aime Sakombi Molendo,Q96210398,Aimé Sakombi Molendo,Congolese politician
Aimé Boji,Q18353237,Aimé Boji,Congolese politician
Aimé Ngoy Mukena,Q18681696,Aimé Ngoy Mukena,Congolese politician
Alexandre Luba Ntambo,Q129404,Alexandre Luba Ntambo,politician from the Democratic Republic of the Congo
Alexis Thambwe Mwamba,Q2834659,Alexis Thambwe Mwamba,DR Congo politician
Andre Kabanda Kana,Q106904653,André Kabanda Kana,
Andre Lite Asebea,Q67218417,André Lite,Congolese politician
André-Philippe Futa,Q516526,André-Philippe Futa,Democratic Republic of the Congo politician (1943-2009)
Anicet Kuzunda Mutangiji,Q107694336,Anicet Kuzunda Mutangiji,
Antoine Ghonda Mangalibi,Q2853995,Antoine Ghonda,Democratic Republic of the Congo politician
Antoine Gizenga,Q316942,Antoine Gizenga,"Congolese Prime Minister, candidate for President (1925-2019)"
Astrid Madiya,Q109017046,Astrid Madiya,
Athanase Matenda Kyelu,Q2868988,Athanase Matenda Kyelu,Congolese politician
Augustin Katumba Mwanke,Q767826,Augustin Katumba Mwanke,Congolese politician (1963-2012)
Augustin Kibassa Maliba,Q107189280,Augustin Kibassa Maliba,Congolese politician
Augustin Matata Ponyo Mapon,Q57883,Matata Ponyo Mapon,Congolese politician
Azarias Ruberwa Manywa,Q2875098,Azarias Ruberwa,Congolese politician
Babi Mbayi,Q109017155,,
Balamage Nkolo,Q108200117,Boniface Balamage,
Barthélemy Botswali Lengomo,Q2885955,Barthélemy Botswali Lengomo,Congolese politician
Baudouin Banza Mukalay Nsungu,Q2883576,Banza Mukalay,Congolese politician (1953-2016)
Beatrice Lomeya Atilite,Q96210138,Béatrice Lomeya Atilite,Congolese politician
Bemba Saolona,Q3176296,Jeannot Bemba Saolona,Democratic Republic of the Congo politician
Benjamin Mukulungu,Q2896177,Benjamin Mukulungu,Congolese politician
Bernard Biando Sango,Q2897532,Bernard Biando Sango,Congolese politician
Bienvenu Liyota Ndjoli,Q19631188,Bienvenu Liyota Ndjoli,Congolese politician
Bijou Mushitu Kat,Q19631190,Bijou Mushitu Kat,woman Congolese politician
Bolengetenge Balela,Q18642479,Bolengetenge Balela,Congolese politician
Bruno Kapanji Kalala,Q107126535,Bruno Kapanji Kalala,
Bruno Tshibala Nzenze,Q29239480,Bruno Tshibala,Prime Minister of the Democratic Republic of the Congo
Catherine Nzuzi wa Mbombo,Q2942019,Catherine Nzuzi wa Mbombo,Congolese politician
Celestin Tunda ya Kasende,Q78469448,Célestin Tunda ya Kasende,politician from the Democratic Republic of the Congo
Cesar Lubamba Ngimbi,Q107475161,César Lubamba Ngimbi,Congolese politician
Chantal Ngalula Mulumba,Q96244723,Chantal Ngalula Mulumba,Congolese politician
Chantal Safu,Q56654533,Chantal Safu,DR Congo politician
Charles Alulea Mengulwa,Q108146627,Charles Alulea Mengulwa,
Charles Mwando Nsimba,Q2959880,Charles Mwando Simba,Democratic Republic of the Congo politician (1936-2016)
Charlotte Twamba,Q96244903,Charlotte Twamba ANDJELANI,Congolese politician
Chikez Diemu,Q2963552,Chikez Diemu,Democratic Republic of the Congo politician
Claude Nyamugabo Bazibuhe,Q48775372,Claude Nyamugabo Bazibuye,congolese (DRC) politician
Clement Kuete Nymi Bemuna,Q99851996,Clément Kuete Nymi Bemuna,Congolese politician
Crispin Atama Tabe,Q3002789,Crispin Atama Tabe,Congolese politician
Célestin Mbuyu Kabango,Q3010091,Célestin Mbuyu Kabango,Congolese politician
Célestin Vunabandi Kanyamihigo,Q16545541,Célestin Vunabandi,Congolese politician
Daniel Mukoko Samba,Q130512,Daniel Mukoko Samba,Democratic Republic of the Congo politician
David Jolino Makelele,Q107189252,David Jolino Diwanpovesa Makelele ma-Muzingi,Congolese politician
Denis Kalume Numbi,Q3022760,Denis Kalume Numbi,Democratic Republic of the Congo politician
Denis Kambayi Tshimbumbu,Q108385607,Denis Kambayi Tshimbumbu,
Denis Mbuyu Manga,Q3022820,Denis Mbuyu Manga,Congolese politician
Deogratias Nkusu Kunzi Bikawa,Q99852154,Déogratias Nkusu Kunzi Bikawa,Congolese politician
Didace Pembe Bokiaga,Q3026832,Didace Pembe Bokiaga,Congolese politician
Didier Mazengu Mukanzu,Q97163169,,
Didier Mumengi,Q3027119,Didier Mumengi,Congolese politician
Dieudonne´ Upira Sunguma Kagimbi,Q107694205,Dieudonné Upira Sunguma Kagimbi,
Dominique Sakombi Inongo,Q102072771,Sakombi Inongo,politician
Elias Kakule Mbahingana,Q3050926,Elias Kakule Mbahingana,Congolese politician
Elysee Munembwe Tamukumwe,Q79423044,Élysée Munembwe,Congolese politician (DRC)
Emile Mota Ndongo Kang,Q106904386,Émile Mota Ndongo Kang,"politician, DRC"
Emmanuel Ramazani Shadary,Q16269662,Emmanuel Ramazani Shadary,Congolese politician
Eraston Kambale Tsongo,Q106904634,Eraston Kambale Tsongo,"politician, DRC"
Eteni Longondo,Q88222785,Eteni Longondo,DRC medical doctor and politician
Eugène Lokwa Ilwaloma,Q3060002,Eugène Lokwa Ilwaloma,Congolese politician
Eugène Serufuli Ngayabaseka,Q3060173,Eugène Serufuli Ngayabaseka,Congolese politician
Eustache Muhanzi Mubembe,Q96464551,Eustache Muhanzi Mubembe,Congolese politician
Franck Mwe di Malila,Q18611995,Franck Mwe di Malila,Congolese politician
Francois Muamba Tshishimbi,Q3085432,François Mwamba Tshishimbi,Congolese politician
François-Joseph Mobutu Nzanga Ngbangawe,Q3091442,Nzanga Mobutu,Democratic Republic of the Congo politician
Fridolin Kasweshi Musoka,Q3087663,Fridolin Kasweshi,Congolese politician
Frédéric Kibassa Maliba,Q5506698,Frédéric Kibassa Maliba,Democratic Republic of the Congo politician
Félix Kabange Numbi Mukwampa,Q19544597,Félix Kabange,Congolese politician
Gaston Musemena,Q40680866,Gaston Musemena,Congolese politician
Generose Lushiku Muya,Q48778043,Generose Lushiku Muya,politician
Geneviève Inagosi,Q63349528,Geneviève Inagosi,Congolese Minister
Georges Minsay Booka,Q3103211,Georges Minsay Booka,politician in the Democratic Republic of the Congo
Georges Wembi Loambo,Q108809322,Georges Wembi Loambo,
Gerard Kamanda wa Kamanda,Q3124059,Gérard Kamanda wa Kamanda,Prime Minister of the Democratic Republic of the Congo
Germain Kambinga,Q28086239,Germain Kambinga,Congolese politician (DRC)
Gertrude Kitembo,Q85853312,Gertrude Kitembo,DRC politician and businesswoman
Gilbert Kankonde Malamba,Q78910576,Gilbert Kankonde Malamba,Congolese politician
Gilbert Tshiongo Tshibinkubula wa Tumba,Q105713042,Gilbert Tshiongo Tshibinkubuka wa Tumba,Congolese politician
Godefroid Mayobo Mpwene Ngantien,Q3109704,Godefroid Mayobo Mpwene Ngantien,Congolese politician
Gustave Boloko Nkeli,Q56779011,Gustave Boloko Nkeli,Congolese politician
Guy Mikulu Pombo,Q106904741,Guy Mikulu Pombo,politician of DRC
Gérard Tumba,Q17275761,The Tomb of William the Silent in the Nieuwe Kerk in Delft,painting by Gerard Houckgeest
Henri Mova Sakanyi,Q3131683,Henri Mova Sakanyi,Congolese politician
Henri Yav Mulang,Q19631192,Henri Yav Mulang,Congolese politician
Ignace Gata Mavinga,Q3148164,Ignace Gata Mavinga,Congolese politician
Isidore Kabwe Mwehu,Q19631175,Isidore Kabwe Mwehu,Congolese politician
Isumbisho Mwapu,Q107189605,Pascal Isumbisho Mwapu,Congolese politician and university professor
Jaqueline Penge Sanganyoi,Q96471576,Jaqueline Penge Sanganyoi,Congolese politician
Jean Chrisostome Vahamwiti Mukesyayira,Q107126837,Jean Chrisostome Vahamwiti Mukesyayira,
Jean François Ekofo Panzoko,Q3172112,Jean François Ekofo Panzoko,Congolese politician
Jean Joseph Kasonga Mukuta,Q106904800,Jean Joseph Kasonga Mukuta,
Jean-Baptiste Ntahwa Kuderwa Batumike,Q3164322,Jean-Baptiste Ntahwa Kuderwa,Congolese politician
Jean-Claude Kibala,Q19631195,Jean-Claude Kibala,Congolese politician
Jean-Claude Molipe,Q106904846,Jean-Claude Molipe Mandongo,DRC politician
Jean-Claude Muyambo Kyassa,Q3165135,Jean-Claude Muyambo Kyassa,Congolese politician
Jean-Lucien Bussa Tongba,Q56515694,,Congolese politician
Jean-Marie Bulambo Kilosho,Q3167591,Jean-Marie Bulambo Kilosho,Congolese politician
Jean-Paul Nemoyato Begepole,Q3168626,Jean-Paul Nemoyato Begepole,Congolese politician
Jean-Pierre Bemba,Q379148,Jean-Pierre Bemba,Democratic Republic of the Congo politician
Jean-Pierre Bokole Ompoka,Q105946534,Jean-Pierre Bokole Ompoka,
Jean-Pierre Daruwezi Mokombe,Q106913695,Jean-Pierre Daruwezi Mokombe,Congolese politician
Jean-Pierre Lisanga Bonganga,Q105546420,Jean-Pierre Lisanga Bonganga,Congolese politician
Jean-Pierre Lola Kisanga,Q3169519,Jean-Pierre Lola Kisanga,Congolese politician
Jean-Pierre Ondekane,Q4334835,Jean Pierre Ondekane,
Jeanne Ebamba Boboto,Q96244251,jeanne abamba boboto,Congolese politician
Jeannette Kavira Mapera,Q16195146,Jeannette Kavira Mapera,Minister of Culture and Arts
Jeannine Mabunda Lioko Mudiayi,Q63382184,Jeannine Mabunda,Congolese politician
John Ntumba Panumpakole,Q97368316,John Ntumba Panumankole,Congolese politician
Jonathan Bialosuka Wata,Q106904755,Jonathan Bialosuka Wata,
Jose Engbanda,Q108692448,José Engbanda,
Jose Mpanda Kabangu,Q105798778,José Mpanda Kabangu,Congolese politician (DRC)
Jose Sele Yalaghuli,Q90354281,José Sele Yalaghuli,
Joseph Kapika,Q47171524,Joseph Kapika,Congolese politician
Joseph Martin Kitumba Gagedi Gasagisa Mwanza,Q107475186,Joseph Martin Kitumba Gagedi Gasagisa Mwanza,Congolese politician
Joseph Olenghankoy,Q28497506,Joseph Olenghankoy,politician of the Democratic Republic of the Congo
